Time,CPU%,MemoryMB,Handles,Threads,Anomaly
21:24:31,0,155,275,1,False
21:25:01,0,155,275,1,False
21:25:31,0,155,275,1,False
21:26:01,0,155,275,1,False
21:26:31,0,155,275,1,False
21:27:01,0,155,275,1,False
21:27:31,0,155,275,1,False
21:28:01,0,155,275,1,False
21:28:31,0,155,275,1,False
21:29:01,0,155,275,1,False
21:29:32,0,155,275,1,False
21:30:02,0,155,275,1,False
21:30:32,0,155,275,1,False
21:31:02,0,155,275,1,False
21:31:32,0,155,275,1,False
21:32:02,0,155,275,1,False
21:32:32,0,155,275,1,False
21:33:02,0,155,275,1,False
21:33:32,0,155,275,1,False
21:34:02,0,155,275,1,False
21:34:32,0,155,275,1,False
21:35:02,0,155,275,1,False
21:35:32,0,155,275,1,False
21:36:02,0,155,275,1,False
21:36:32,0,155,275,1,False
21:37:02,0,155,275,1,False
21:37:32,0,155,275,1,False
21:38:02,0,155,275,1,False
21:38:32,0,155,275,1,False
21:39:02,0,155,275,1,False
21:39:32,0,155,275,1,False
21:40:02,0,155,275,1,False
21:40:32,0,155,275,1,False
21:41:02,0,155,275,1,False
21:41:32,0,155,275,1,False
21:42:02,0,155,275,1,False
21:42:32,0,155,275,1,False
21:43:02,0,155,275,1,False
21:43:32,0,155,275,1,False
21:44:02,0,155,275,1,False
21:44:32,0,155,275,1,False
21:45:02,0,155,275,1,False
21:45:33,0,155,275,1,False
21:46:03,0,155,275,1,False
21:46:33,0,155,275,1,False
21:47:03,0,155,275,1,False
21:47:33,0,155,275,1,False
21:48:03,0,155,275,1,False
21:48:33,0,155,275,1,False
21:49:03,0,155,275,1,False
21:49:33,0,155,275,1,False
21:50:03,0,155,275,1,False
21:50:33,0,155,275,1,False
21:51:03,0,155,275,1,False
21:51:33,0,155,275,1,False
21:52:03,0,155,275,1,False
21:52:33,0,155,275,1,False
21:53:03,0,155,275,1,False
21:53:33,0,155,275,1,False
21:54:03,0,155,275,1,False
21:54:33,0,155,275,1,False
21:55:03,0,155,275,1,False
21:55:33,0,155,275,1,False
21:56:03,0,155,275,1,False
21:56:33,0,155,275,1,False
21:57:03,0,155,275,1,False
21:57:33,0,155,275,1,False
21:58:03,0,155,275,1,False
21:58:33,0,155,275,1,False
21:59:03,0,155,275,1,False
21:59:33,0,155,275,1,False
22:00:03,0,155,275,1,False
22:00:34,0,155,275,1,False
22:01:04,0,155,275,1,False
22:01:34,0,155,275,1,False
22:02:04,0,155,275,1,False
22:02:34,0,155,275,1,False
22:03:04,0,155,275,1,False
22:03:34,0,155,275,1,False
22:04:04,0,155,275,1,False
22:04:34,0,155,275,1,False
22:05:04,0,155,275,1,False
22:05:34,0,155,275,1,False
22:06:04,0,155,275,1,False
22:06:34,0,155,275,1,False
22:07:04,0,155,275,1,False
22:07:34,0,155,275,1,False
22:08:04,0,155,275,1,False
22:08:34,0,155,275,1,False
22:09:04,0,155,275,1,False
22:09:34,0,155,275,1,False
22:10:04,0,155,275,1,False
22:10:34,0,155,275,1,False
22:11:04,0,155,275,1,False
22:11:34,0,155,275,1,False
22:12:04,0,155,275,1,False
22:12:34,0,155,275,1,False
22:13:04,0,155,275,1,False
22:13:34,0,155,275,1,False
22:14:04,0,155,275,1,False
22:14:34,0,155,275,1,False
22:15:05,0,155,275,1,False
22:15:35,0,155,275,1,False
22:16:05,0,155,275,1,False
22:16:35,0,155,275,1,False
22:17:05,0,155,275,1,False
22:17:35,0,155,275,1,False
22:18:05,0,155,275,1,False
22:18:35,0,155,275,1,False
22:19:05,0,155,275,1,False
22:19:35,0,155,275,1,False
22:20:05,0,155,275,1,False
22:20:35,0,155,275,1,False
22:21:05,0,155,275,1,False
22:21:35,0,155,275,1,False
22:22:05,0,155,275,1,False
22:22:35,0,155,275,1,False
22:23:05,0,155,275,1,False
22:23:35,0,155,275,1,False
22:24:05,0,155,275,1,False
22:24:35,0,155,275,1,False
